"","�..id","booked","host_since","host_about","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_verifications","price","host_since_frm","days_since","email","social","phone","reviews"
"197",5716399,0,"16-05-2012","We are from the Mountains of Western North Carolina. David is a contractor, specializing in GreenBuilding and Melissa is a Physician Assistant at a Family Practice. 
We to love travel, play outdoors with our dog and enjoy all the great restaurants Asheville has to offer.","within an hour","100%","100%","f",2,2,"['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']","$ 115.00",2012-05-16,1745,1,1,1,1
"198",8841337,0,"11-10-2015","I am an owner of a local Craft Cider company, used to make kids TV in the UK and also was Therapist working with children with autism for a couple of years. I like to be available to my guests if they need anything, but then like to give them the space to relax and feel at home without interruption.","within a day","100%","0%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 100.00",2015-10-11,502,1,1,1,1
"199",3095136,0,"18-05-2014","","within an hour","100%","86%","t",3,3,"['email', 'phone', 'google', 'reviews', 'jumio']","$ 165.00",2014-05-18,1013,1,1,1,1
"200",768598,0,"04-11-2012","Meredith and I love to share our beautiful area. She grew up in the Washington DC area, has family connections to NC, and attended Duke graduate school. I grew up in Eastern Pennsylvania, my family is from NC, coastal SC.  I went to UNC-CH. 

We live in the mountain oasis of Asheville.  We love to travel, cycling of all kinds and a variety of outdoor activities, also I have a penchant for things mechanical.","within a few hours","100%","33%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 150.00",2012-11-04,1573,1,1,1,1
"201",7064317,0,"29-06-2015","HI!

I'm Vicki, a native of Asheville, and my husband, Tom, relocated from Boston 15 years ago.  Yes, he still says ""khakis"" for ""car keys"", but I can translate  if needed!  Just kidding...his accent is just one of the  many things I love about him!

Both of us work full time - I'm a dental hygienist, and Tom, an IT Specialist.  We enjoy every minute we get to spend at home, and also love being with our kids and grand kids, our 2 dogs, going to dinner and movies, being out on the pontoon boat at Lake Fontana in the summer, working around the house, or just relaxing (our favorite)!  We recently bought 2 double floats and did some lazy tubing on the French Broad!  We enjoyed it so much, we'll probably be ""floating"" every chance we get!  It was beautiful and so relaxing!  If you're in Asheville during the summer months and like being in the water, we highly recommend it! 

We adore Asheville and the surrounding areas, especially the mountains.  I've always felt comforted and protected by them for some reason.  Sometimes you might hear them   whispering to you, but you have to learn to listen closely, and it helps to use your imagination :)   

Getting to meet and enjoy good people from all cultures is one of life's greatest privileges.  Plus it's exciting to know there are so many warm, interesting, and kind people that may cross our paths.  We're looking forward to welcoming you to Asheville and into our home.  Our hope is that our little slice of heaven will serve you well and be a respite for you during your visit.   We will be as interactive as you wish, but our goal is to honor and respect your privacy, thus we will never be intrusive.  We can't wait to meet you!","within a day","50%","100%","t",1,1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']","$ 78.00",2015-06-29,606,1,1,1,1
"202",11259371,111,"25-03-2013","Lived in Tampa for over 20 years and moved to Asheville without ever visiting and LOVED it!  My boyfriend Shane and I live here with a couple of cute dogs and even cuter kids. 
I run an online vintage store and my favorite thing to do is go to the beach, check out small local businesses, like cafes and boutiques, and take my kids to parks or fun family events, and I love to read!","within an hour","100%","100%","f",1,1,"['email', 'phone', 'reviews']","$ 79.00",2013-03-25,1432,1,1,1,1
"203",12310425,0,"27-03-2016","","within a few hours","100%","100%","f",1,1,"['email', 'phone']","$ 325.00",2016-03-27,334,1,1,1,1
"204",4984181,0,"01-01-2015","Hi there!  We are Dawn and Ben, and we are happy that you are interested in our space!
  Dawn has been in Asheville over 20 years, though she spent a hefty portion of that time traveling the world.  She's been working for a local bike shop the last 7 years, where she is still employed, and is also currently in school for Nursing.  She loves being outside, running, and camping, but is most elated when she's on her mountian bike in the woods ripping along beautiful single track. 
Ben moved to Asheville for the mountain biking 13 years ago.  He worked in the bike industry for over 15 years.  He now works as an off-road driving instructor for Land Rover on the Biltmore Estate.  In his free time he enjoys spending time with his daughter Macy, fiancee Dawn, tinkering on his Classic Range Rover and mountain biking.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']","$ 90.00",2015-01-01,785,1,1,1,1
"205",12325459,111,"04-02-2016","Cody & Marla have lived here is Asheville for many years and love it here.  We enjoy many of wonderful natural setting of the area.  We have three teenagers and two cats.  We spend a lot of time camping on a lake with our Pontoon & Sailboat which allows us the opportunity allow you to stay in the house while we are off playing.  We hope you enjoy Asheville as much as we do.","within an hour","100%","100%","f",2,2,"['email', 'phone', 'facebook', 'reviews']","$ 50.00",2016-02-04,386,1,1,1,1
"206",6566070,0,"27-05-2015","I am a small business owner and an urban organic farmer who loves animals as well. I am a gypsy at heart and in 1999 decided to make Asheville my home. After traveling the U.S. for almost 2 years it felt great to throw down some roots. Those roots have dug in deep!! Being an entrepreneur in a community that thrives on, supports and is loyal to us small business folks is both a joy and an honor.
Being a host gives me the opportunity to share with so many different folks all the things I truly love about the Asheville community.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'google', 'reviews', 'kba']","$ 160.00",2015-05-27,639,1,1,1,1
"207",1325364,0,"30-06-2013","I have lived in Asheville since 2002 first working for Outward Bound and now teaching middle school science.  I love to travel am so happy to help others out as they explore Asheville!  I do quite a bit of running and triathlon racing so that keeps me busy with races, long runs or rides on weekends so I am often not home much. I look forward to meeting you!","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 75.00",2013-06-30,1335,1,1,1,1
"208",11291801,0,"13-09-2015","","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews']","$ 165.00",2015-09-13,530,1,1,1,1
"209",2943116,110,"02-05-2014","Easy going friendly and very helpful.  I love life, good food and good friends.  I love to meet nice people and help them have a wonderful stay in Asheville.  My motto is lfe is short - order dessert first.  :-)","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 100.00",2014-05-02,1029,1,1,1,1
"210",2949571,0,"03-05-2014","We are artist/musicians living in Asheville with our 2 boys and a few pet chickens.
We enjoy gardening & landscaping our peaceful sanctuary.
We are openminded, humorous, non-judgmental, vegetarian,  balanced between urban/rural, into nature, arts, electronic music, philosophy, astronomy, archaeology, and respectful of all life. :)

As hosts, we try to be easy going and accommodating as possible.
As guests, we live by the Leave No Trace principal and/or the ""leaving it nicer than you found it"" principal. :)","within a few hours","100%","95%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 94.00",2014-05-03,1028,1,1,1,1
"211",11343133,0,"09-04-2014","I love color, married a artist and live in one of the most comfortable and colorful homes in West Asheville (and that's saying something in this neighborhood!) My partner Thomas and I decided to move to Asheville after visiting over my birthday weekend two years ago (via Airbnb). We instantly fell in love with the town's charm and haven't looked back

I moved to Asheville from the Washington DC area almost 2 years ago and I love the small town feel, the natural beauty, the southern friendliness and the strong sense of community. I'm blessed to work from home as a consultant for the United Nations, so I get to interact with folks literally all over the world, from the comfort of my home office. I've lived in Sierra Leone and Guatemala and have traveled to a handful of other countries in Europe, the Caribbean and Central America. I've also lived in various cities on both coasts of the US, yet very serendipitously rooted here in Asheville, North Carolina (happy to share that story with you when we meet.) So yes, I love to travel, connect with new people, learn about the many cultures that exist in any particular space and place.

With an active yoga practice, attempts at gardening, a six year old son with an active social calendar, and baby #2 on the way, life is ever expressing joy.","within a few hours","100%","95%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 45.00",2014-04-09,1052,1,1,1,1
"212",10298936,0,"03-10-2013","Hello!   My name is Shawn.  I'm an Asheville native.  I enjoy motorcycles, web design, and real estate.  I know all of the best places to eat and all of the best breweries in town.  I'm a people person when I'm not running around town with my two dogs.","within an hour","100%","100%","f",3,3,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","$ 39.00",2013-10-03,1240,1,1,1,1
"213",3990524,0,"30-01-2012","I spent my entire adult life in theatre as an actress, director and producer. Nearly 20 years of that I created original works with objects and puppets. My work has been seen at The Kennedy Center, the Henson International Festival in N.Y., UCLA, and the Walker Arts Center, to name a few.  I tired of the touring life however and am now making beautiful handmade art lamps inspired by a 2 year stay in Korea.  I love my hours in the studio which is located in Asheville's River Arts District!  I must still travel some to get my wares out into the public, but with a studio in the district, many travelers come my way. 

I love to meet new people. I'm friendly and easy to get along with.  With all the traveling done over the years I am quite self sufficient.  Good food is important when you're on the road, and I love to find those special little places tucked away in a neighborhood. As a host, I will be able to point you in the right direction for a wonderful night on the town. 

My motto is - ""Be positive and enjoy the ride.""","within a few hours","100%","83%","t",1,1,"['email', 'phone', 'facebook', 'reviews']","$ 45.00",2012-01-30,1852,1,1,1,1
"214",6813265,0,"18-04-2015","I am a 45 yr old female. I lived in WY near the Tetons for 13 yr and now reside in Asheville, NC. My child is my job; I am an acupuncturist (& also a science enthusiast) & work with my patients using vitamins, herbs, & nutrition. I love to travel & meet people & enjoy delicious &/or interesting food, and love music & the outdoors. I especially love anything to do with the water! (I used to coach swimming& swam competitively).  I love world music, funk, and bluegrass. Like I said , I love to travel but these days I am limited due to my work (which I love) and needing to be near to my parents (who I used to never see when I was away all the time).","within a few hours","100%","100%","f",1,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']","$ 58.00",2015-04-18,678,1,1,1,1
"215",1950593,0,"21-05-2013","We are wildlife photographers, film-makers, and writers who edit Travel For Wildlife, a website dedicated to adventure wildlife travel. We have lived in Asheville for three years with our two cats Scamper and Sadie. We love to travel the world to look for animals and we love to come home to our cozy house in the woods!","within a day","96%","99%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 110.00",2013-05-21,1375,1,1,1,1
"216",6150459,0,"31-05-2013","I love to read, travel, and spend time with family. I also enjoy sharing how amazing Asheville is with other travelers!","within a day","90%","88%","t",2,2,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 199.00",2013-05-31,1365,1,1,1,1
"217",11396796,112,"23-09-2013","More info on it's way.","within a few hours","100%","96%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 70.00",2013-09-23,1250,1,1,1,1
"218",5114762,112,"15-09-2014","An Asheville transplant, I have watched our West Asheville grow into a diverse community with numerous food eateries, music venues, shops and even a gas station with a pub.  I love our community and spend part of my time promoting the Greenway projects across the Asheville area and beyond. 
  
My partner Wynn and I have been living in our home since 2008 and have found that Asheville offers a lifestyle that encourages quality of life.   We look forward to sharing our experience on a visit very soon. Live, Laugh, Love!   

Grandmother of two gorgeous boys, I look forward to sharing my home with people coming to experience the Asheville scene.  My home is open and inviting and within walking distance to all the West Asheville Amenities.

I own a small real estate business, Sweetwater Realty, yes named after the beer from Atlanta.  We love our beers in Asheville.

Live, Laugh and Love!  I look forward to seeing you soon.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","$ 80.00",2014-09-15,893,1,1,1,1
"219",3018908,0,"01-05-2014","","within an hour","100%","100%","t",2,2,"['email', 'phone', 'google', 'reviews', 'kba']","$ 215.00",2014-05-01,1030,1,1,1,1
"220",5464591,0,"25-02-2015","We are an artsy and natural family of three who love music, art, yoga, meditation, gardening, cooking and wordly travel.  We were married in late 2010 and have traveled over 2 out of the last 4 years in various countries and have circled the globe twice.  We are good hearted, simple people and are excited to share our cute and cozy home with you!","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 300.00",2015-02-25,730,1,1,1,1
"221",12468460,112,"15-11-2012","","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook']","$ 60.00",2012-11-15,1562,1,1,1,1
"222",7276342,0,"09-02-2015","I am a martial arts student,  gardener and artist. I love living here in the mountains,  and really enjoy meeting new people and sharing my life experiences. My passions are in music and living a balanced happy life with my children and my pet family!","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 75.00",2015-02-09,746,1,1,1,1
"223",6271061,112,"18-06-2011","We're open hearted and open minded, creative, love to travel, and enjoy the beauty of everyday life with our adorable kids.","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'facebook', 'reviews']","$ 70.00",2011-06-18,2078,1,1,1,1
"224",10476149,0,"24-01-2015","","N/A","N/A","N/A","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 150.00",2015-01-24,762,1,1,1,1
"225",2014453,0,"21-05-2013","We are wildlife photographers, film-makers, and writers who edit Travel For Wildlife, a website dedicated to adventure wildlife travel. We have lived in Asheville for three years with our two cats Scamper and Sadie. We love to travel the world to look for animals and we love to come home to our cozy house in the woods!","within a day","96%","99%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 105.00",2013-05-21,1375,1,1,1,1
"226",817865,0,"01-12-2012","We LOVE alternative dwellings and micro housing. We ourselves live in a  270 sq ft vintage camper with our three dogs. We have really been enjoying the opportunity to share our land with guests and have met so many amazing people through hosting on AIRBNB.   Together, Josh and I own two pieces of land in Asheville. One has just the yurt alone on it. Our other property is home to Bettie and also has several private campsites. It's nice to be able to offer people a range of options- from camping on the cheap to enjoying a luxurious stay in our yurt or restored vintage trailer! Joanna owns an environmentally conscious cleaning company in Asheville, Clean Green Asheville. Josh makes tactical gear like tourniquet holders and works out of his airstream shop. We are both very friendly and active people and we do all of the work on both properties ourselves :-)","within an hour","100%","84%","t",5,5,"['email', 'phone', 'reviews', 'jumio', 'kba']","$ 160.00",2012-12-01,1546,1,1,1,1
"227",5152307,0,"24-01-2015","","N/A","N/A","N/A","f",2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 135.00",2015-01-24,762,1,1,1,1
"228",9884274,0,"06-08-2013","I like to work hard and play hard. I am easy going. I love travel and love hosting travelers. I am a father of a beautiful 18 year old.","within an hour","100%","94%","t",2,2,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 37.00",2013-08-06,1298,1,1,1,1
"229",1497710,112,"08-05-2012","We are both young professionals from Asheville. We both work in elementary schools. We both enjoy outdoor activities and travel as much as we can. We are professional, honest, and reliable.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'kba']","$ 85.00",2012-05-08,1753,1,1,1,1
"230",3089882,0,"23-03-2013","I live in Asheville, North Carolina.  I am an ecologist, botanist, writer, yogi, and qigong instructor.  I am an avid outdoorsman, hiker/walker, climber, runner, spelunker, soccer/football player, and amateur mythologist.","within an hour","100%","92%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 55.00",2013-03-23,1434,1,1,1,1
"231",6765734,0,"26-06-2011","We operate two traveler's hostels located in Historic West Asheville, and in Wilmington, NC. Both locations offer wifi and Internet access, full kitchen and bathroom, book exchange and common areas, and bikes to borrow.","within a few hours","100%","68%","f",6,6,"['email', 'phone', 'facebook', 'reviews']","$ 24.00",2011-06-26,2070,1,1,1,1
"232",6765832,0,"26-06-2011","We operate two traveler's hostels located in Historic West Asheville, and in Wilmington, NC. Both locations offer wifi and Internet access, full kitchen and bathroom, book exchange and common areas, and bikes to borrow.","within a few hours","100%","68%","f",6,6,"['email', 'phone', 'facebook', 'reviews']","$ 72.00",2011-06-26,2070,1,1,1,1
"233",4145255,112,"18-09-2014","Russ and I have been together for nearly ten years.  We enjoy happy living, eating at local restaurants (of which there are so very many), designing and finishing home projects, tending our garden, keeping our chickens fed, working for two local businesses, and taking walks in our neighborhood.   After I had already decided to move to Asheville (en route from working as a tour guide in Skagway, AK and Boston, MA), Russ and I met on a cruise ship (oddly enough because this ain't our style at all) and the rest is history.  Since then, we have traveled to Spain, Alaska (again), Costa Rica, and the West Coast of the US.  We designed our home making it uniquely ours and Russ built it with the green building company where he has worked for over 8 years.  We are also lucky to have a long-term roommate and old friend -Jenn- who has lived with us since 2009.  She is easy-going, fun-loving, and currently studying to get her Masters in Social Work.  We LOVE living in Asheville, NC and are happy to call this big, small town home until forever.","N/A","N/A","N/A","t",1,1,"['email', 'phone', 'reviews', 'jumio']","$ 69.00",2014-09-18,890,1,1,1,1
"234",3575037,0,"12-07-2014","I am a hard working teacher. I like to walk, love to eat well and practice yoga. I love to read and learn and occasionally play some music or dabble in an artsy project. My partner and dog live here with me.","within a few hours","100%","72%","f",2,2,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 50.00",2014-07-12,958,1,1,1,1
"235",1004031,0,"18-03-2013","My partner and I are parents for our 3 year old son, and horticulturalists who love the beauty and diversity of nature. Bill works extensively to plant edible plants in public spaces and cultivates his own orchards of fruit, nuts, and useful weeds. He dedicates his creative energy to helping our community by implementing his innovative ideas in regards to living more sanely on the planet. Monica is happily a stay at home mom, and homestead gardener - ""holding down our fort"".  Both of us are are doing our best to leave this place better than when it found us.","within a day","100%","88%","f",1,1,"['email', 'phone', 'reviews', 'jumio']","$ 95.00",2013-03-18,1439,1,1,1,1
"236",12021529,0,"24-03-2016","","within a day","100%","75%","f",1,1,"['email', 'phone']","$ 175.00",2016-03-24,337,1,1,1,1
"237",7839268,0,"26-02-2014","","within a few hours","90%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews']","$ 150.00",2014-02-26,1094,1,1,1,1
"238",7850593,0,"29-02-2012","I relocated four years ago to Asheville from New York State, looking for a change of pace. Sure found it! I love this town and its quirky people. Bought my first house almost two years ago, and working hard in my downtime to fix it up - it's a passion-project, I love being crafty and learning how houses work! The guest rooms were first on the list, and you'll occasionally see a work-in-progress as you visit. Don't worry, I keep the dust to a minimum when guests are in the house!

From being a fast-paced-burned-out-exec I have turned into a part-time chinese health clinic manager, part-time horse drawn carriage tour guide, and student. All these activities keep me on-the-go, so we may or may not meet when I'm hosting unless the stars align! When we do, I am super-happy to chat over a cuppa, make recommendations, and learn more about the awesome guests who come through my home. Always feel welcome to text, even if we don't connect face-to-face :)

I love travel, meeting new people, and discovering new experiences!  I lived in Paris for a year in my early adulthood, have lived in many states and moved more than 30 times as an adult - as a former vagabond, I love hearing about your experiences.

When hosting, I want to be sure you're as comfortable (or even more so!) as you would have been at home. I keep the house as clean as possible for everyone's mutual comfort, and the shared bath is cleaned daily to be sure it's fresh when you're getting ready for your plans in town.

Looking forward to meeting you and hosting you in my home!","within an hour","100%","100%","f",2,2,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']","$ 39.00",2012-02-29,1822,1,1,1,1
"239",6805663,113,"24-08-2013","Craig and I moved into our newly constructed West Asheville home in May 2014. Santina is a retired psychotherapist who loves gardening, cooking, and meeting with friends. Craig is an Uber driver as well as a photographer/personal historian.

Our home is a wooded oasis just 2 miles from the center of West Asheville and 4 miles from downtown.  Deer, wild turkeys and rabbits are frequent visitors.","within an hour","100%","100%","t",2,2,"['email', 'phone', 'reviews', 'kba']","$ 72.00",2013-08-24,1280,1,1,1,1
"240",6813187,113,"03-06-2015","","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'facebook', 'reviews']","$ 80.00",2015-06-03,632,1,1,1,1
"241",4304361,0,"28-05-2011"," I currently  have a business  wholesaleing jewelry from Turkey.
 I am also a real estate agent and have been selling real estate for over 26 years  and I do some private duty nursing work . I have a pottery studio in my basement  , and love to garden , and cook. I am a member of the local rowing club, and love to ride my bike on the blue ridge parkway. I have two grown daughters and three grand daughters. The room I rent out is theirs when they visit .I love to travel and spent several 5 month time frames over seas , and have used Airbnb a lot! I love meeting new people.","within a few hours","80%","100%","f",4,4,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 70.00",2011-05-28,2099,1,1,1,1
"242",8310318,112,"14-10-2011","Native to New Orleans, was drawn to the mountains in 1988. By my profile pic you can see how much I enjoy still participating in Mardi Gras and all the New Orleans festivities.","within a day","67%","N/A","f",2,2,"['email', 'phone', 'facebook', 'linkedin', 'reviews']","$ 65.00",2011-10-14,1960,1,1,1,1
"243",634319,0,"24-09-2011","This photo was taken by some friends when we went on one of the many beautiful hikes in the Asheville area.  It was actually a waterfall hike in the Pisgah National Forest near Brevard.  My husband and I are native Ohio Buckeyes. I have worked in accounting but now enjoy yoga, dancing, sewing and reupholstering.  I also recently became a nanny for 3 little girls and am having a lot of fun doing it.  My husband has worked in the telecommunications field for years and continues to do so.  We like to visit our grandson, daughter and son-in-law in Boston and have another daughter here in Asheville, NC.  We love it when the whole family can get together.  Whether we are sitting on the deck or by the cozy fireplace, we love to share our place with family and friends.","within a few hours","100%","100%","f",1,1,"['email', 'phone', 'linkedin', 'reviews']","$ 170.00",2011-09-24,1980,1,1,1,1
"244",12190310,111,"02-04-2016","I'm 21, very down to earth. Accepting of all. I love my animals and really nice people! My boyfriend and I have been together for two years. Born and raised right here in Asheville.  (He's a yuppy","within a day","50%","N/A","f",1,1,"['email']","$ 45.00",2016-04-02,328,1,1,1,1
"245",4279383,109,"06-10-2014","31 year old, single, European American male working full time as a Licensed Clinical Social Worker. Five things I can't live without: Yogurt, Vegetables, My Gardens, My Laptop, and my friends. I don't smoke (anything;)","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 59.00",2014-10-06,872,1,1,1,1
"246",8842798,0,"11-10-2015","We are a fun loving, artistic, creative couple. After a long time in NYC (and tons of other cities) we have found ourselves making this beautiful town home, at least for the time being. 

Robert is a writer who works from home, and Amanda works nights while balancing several other theatrical and creative projects. We share our home with the best roommate ever, our dog Boule (pronounced Bully). He is the most gentle giant and will most likely the best thing about your trip to Asheville. 

When we aren't working we love to drink the awesome beer this region has to offer, listen to live music, support the local theatres with our time and talent, and make sure to have to use Uber once a week.  Amanda and Boule love to hike and can offer advice on breathtaking views or a good watering hole (beware the cold!!)

We look forward to sharing our home with you ! :)","within a day","50%","100%","f",1,1,"['email', 'phone', 'reviews']","$ 69.00",2015-10-11,502,1,1,1,1
"247",624166,0,"29-07-2012","I live on a beautiful piece of land adjacent to Warren Wilson College. I love living and working around so many people trying to make the world a better place. I have a passion for healing, healthy food and healthy living. I am a Breathwork practitioner  I enjoy helping people break free from the bondage of inauthentic living.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'kba']","$ 79.00",2012-07-29,1671,1,1,1,1
"248",11195394,0,"04-07-2015","I am a fun loving creative artist. I love meeting new people and finding inspiring adventures. I am a woman of many roles, Casting Director, Interior Designer, real estate adventurer. 
My partner Ayden, is an author and actor. A truth seeker. A meditation teacher and life coach. 
Our home is peaceful and relaxing. A perfect place to enjoy time with your loved one, or quiet time alone.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","$ 92.00",2015-07-04,601,1,1,1,1
"249",6829875,0,"14-06-2015","Cara is a knitwear maker/designer working in the Asheville River Arts District, and Eric is a home builder.  We have 2 teenage sons.  Asheville has been our home for 15 years.  We love the mountains.","within an hour","100%","92%","t",1,1,"['email', 'phone', 'reviews', 'kba']","$ 85.00",2015-06-14,621,1,1,1,1
"250",4311472,0,"10-10-2014","Our kitchen has this motto, borrowed from Van Morrison:  ""Ordinary Life Be My Rock.""  Married since 1978, we have been grounded by that motto and our faith.  We have lived in Atlanta and other cites/towns in Georgia; Louisville, KY; 15 minutes from Washington, D. C.; SanAntonio, TX; St. Louis, MO; and now Asheville, NC since 2001.  We love Asheville; it is like a smaller version of Atlanta mixed with Guy's roots from the mountains of West Virginia.  We treasure its diversity, cultures, the arts, delicious foods, and the amazing creation that surrounds us 24/7.  Our home has been a center of hospitality all of our lives.  Now that our children are grown and no longer populating our place with their friends, we have room to share our home and city with you!  Come and enjoy Asheville.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'reviews']","$ 75.00",2014-10-10,868,1,1,1,1
"251",4304358,0,"28-05-2011"," I currently  have a business  wholesaleing jewelry from Turkey.
 I am also a real estate agent and have been selling real estate for over 26 years  and I do some private duty nursing work . I have a pottery studio in my basement  , and love to garden , and cook. I am a member of the local rowing club, and love to ride my bike on the blue ridge parkway. I have two grown daughters and three grand daughters. The room I rent out is theirs when they visit .I love to travel and spent several 5 month time frames over seas , and have used Airbnb a lot! I love meeting new people.","within a few hours","80%","100%","f",4,4,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']","$ 60.00",2011-05-28,2099,1,1,1,1
"252",11180243,0,"25-07-2011","Kind, patient, humorous, intelligent.","within a few hours","100%","N/A","f",2,2,"['email', 'phone', 'reviews']","$ 75.00",2011-07-25,2041,1,1,1,1
"253",4587394,0,"03-06-2014","We are a couple who moved to Asheville, NC from Guatemala Central America  years ago after living overseas for 5 years. We traveled to Asheville after selling everything and brought our 2 dogs, and a couple of suitcases. 

We love to travel back to Guatemala to visit family and prefer to stay in homes rather than hotels. It is nice way to get a sense of where the locals eat and play!

For fun around here we have been in a hot air balloon over our mountains, taken a Navitat Canopy Adventure zip line tour, ridden on the pubcycle, savor all the arts, tempt our palates in our food scene and enjoy Lake James.

 We would love to answer any questions you might have about Asheville during your stay at our place and work with you to make it memorable.","within an hour","100%","100%","t",2,2,"['email', 'phone', 'reviews', 'jumio']","$ 130.00",2014-06-03,997,1,1,1,1
"254",5929486,0,"07-04-2015","Hi,
Karl and and I recently made the choice to move to Asheville.    Our home is within the Asheville city loop but you would never know it.  All of the convenience of being near downtown with the peacefulness and beauty of being on a lake.  All you see from our lake home are trees and beautiful views that are peaceful and relaxing. People have called it their santuary from busy lives. We hope that you will feel the same and allow us to pamper you with a chef made breakfast each day (Karl is an actual restaurant chef)  and wine and cheese in the evening.","within an hour","100%","100%","t",1,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']","$ 150.00",2015-04-07,689,1,1,1,1
"255",6227094,0,"30-04-2015","Asheville'vians who love hiking the Blue Ridge Mountains, horses, 
reading, drinking craft beers we've never heard of, listening to live music 
and, of course, hosting Guests in Asheville.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 119.00",2015-04-30,666,1,1,1,1
"256",1312301,0,"26-06-2013","Hi, I'm from Habana, Cuba.  I have been in the United States since 1968.  I just retired after almost 20 years teaching English as a Second Language first in Florida and then in Asheville.  I love hiking in the woods and being in nature.  I take care of my body, love cooking vegetarian dishes and dehydrating vegetables from my garden.  I belong to a conscious dancing community here in Asheville and dance at least twice weekly.","within an hour","100%","100%","f",1,1,"['email', 'phone', 'reviews', 'kba']","$ 70.00",2013-06-26,1339,1,1,1,1
"257",3454237,0,"28-05-2013","","within a day","70%","100%","f",1,1,"['email', 'phone', 'reviews']","$ 120.00",2013-05-28,1368,1,1,1,1
"258",8523449,0,"22-09-2015","My lady Terri and I have been wanting to become hosts for some time now. We both have been in Asheville for over 10 years and we have seen our beloved town turn into one of the most desirable destinations in the southeast.  We love our town and enjoy sharing it with as many people as possible. Hotels have become expensive in town and we enjoy keeping our cabin a very reasonable alternative for prospective visitors. 

I live in the cabin as often as I can but I do travel for work often.  Giving the perfect opportunity to share my home whit anyone traveling to town.  Welcome to my tiny cabin and take good care of it while I'm gone.","within an hour","100%","100%","t",3,3,"['email', 'phone', 'linkedin', 'reviews', 'jumio']","$ 99.00",2015-09-22,521,1,1,1,1
"259",12220617,0,"24-03-2015","","within an hour","100%","99%","t",7,7,"['email', 'phone', 'google', 'reviews', 'jumio']","$ 30.00",2015-03-24,703,1,1,1,1
"260",554648,0,"18-06-2012","I'm married with 2 grown boys that live in Florida. We own a home in North Carolina that we like to share with others.","N/A","N/A","N/A","f",1,1,"['email', 'phone', 'facebook', 'linkedin']","$ 150.00",2012-06-18,1712,1,1,1,1
